ux time,human time,message
1679063097187441500,14:24:57,APP START
1679063158131860400,14:25:58,APP START
1679063159914821500,14:25:59,SHOW START
1679063161411143400,14:26:01,SHOW ENDS
1679063186510134000,14:26:26,APP START
1679063187866998100,14:26:27,SHOW ENDS
1679063188722402500,14:26:28,SHOW STARTS
1679063191731792500,14:26:31,H
1679063192547264700,14:26:32,SHOW ENDS
1679063211920692700,14:26:51,APP START
1679063213178913300,14:26:53,SHOW STARTS
1679063214226834900,14:26:54,SHOW ENDS
1679063216482941300,14:26:56,SHOW STARTS
1679063217486958700,14:26:57,H
1679063232678397400,14:27:12,APP START
1679063234266959800,14:27:14,SHOW STARTS
1679063236762850600,14:27:16,SHOW ENDS
1679063237767159300,14:27:17,H
1679063239371401600,14:27:19,SHOW STARTS
1679063243382436100,14:27:23,H
1679063243650496600,14:27:23,SHOW ENDS
1679063245787476300,14:27:25,SHOW STARTS
1679063248796751500,14:27:28,H
1679063250291257300,14:27:30,SHOW ENDS
1679063300085598700,14:28:20,APP START
1679063301683074400,14:28:21,SHOW STARTS
1679063302691551000,14:28:22,SHOW ENDS
1679063303963001000,14:28:23,SHOW STARTS
1679063304723017000,14:28:24,SHOW ENDS
1679063305728223100,14:28:25,H
1679063664399689000,14:34:24,APP START
1679063669791021400,14:34:29,H
1679063674811741500,14:34:34,H
1679063679835829500,14:34:39,H
1679063684851709300,14:34:44,H
1679063689874515000,14:34:49,H
1679063694898772600,14:34:54,H
1679063699921746900,14:34:59,H
1679063704943320100,14:35:04,H
