ux time,human time,message
1676467528279964000,13:25:28,APP START
1676467534026962400,13:25:34,H
1676467539029012800,13:25:39,ftxchgj
1676467539032005800,13:25:39,H
1676467539789006400,13:25:39,TRIGGER
1676467540907988800,13:25:40,TRIGGER
1676467541052010100,13:25:41,TRIGGER
1676467541211996200,13:25:41,TRIGGER
1676467541379997300,13:25:41,TRIGGER
1676467541555962000,13:25:41,TRIGGER
1676474548196413200,15:22:28,APP START
1676474631312276000,15:23:51,APP START
1676474673567918200,15:24:33,APP START
1676474674874911200,15:24:34,TRIGGER
1676474675778911200,15:24:35,TRIGGER
1676474676162929400,15:24:36,TRIGGER
1676474676346911500,15:24:36,TRIGGER
1676474676506910500,15:24:36,TRIGGER
1676474676658912000,15:24:36,TRIGGER
1676474703428912300,15:25:03,APP START
1676474708596912200,15:25:08,H
1676474713605913700,15:25:13,H
1676474718614914200,15:25:18,H
1676474723624910500,15:25:23,H
1676474728634912900,15:25:28,H
1676474733643912700,15:25:33,H
1676474738652911100,15:25:38,H
1676474743661911900,15:25:43,H
1676474748671984400,15:25:48,H
1676474753680981300,15:25:53,H
1676474758691984000,15:25:58,H
1676474765461980000,15:26:05,APP START
1676474766858983300,15:26:06,BEEP
1676474768042983600,15:26:08,BEEP
1676474797150981800,15:26:37,APP START
1676474798594982800,15:26:38,BEEP
1676475023249109900,15:30:23,APP START
1676475025883071600,15:30:25,AUTO_BEEP
1676475027563287900,15:30:27,AUTO_BEEP
1676475028567314800,15:30:28,H
1676475028619315400,15:30:28,AUTO_BEEP
1676475029235374700,15:30:29,AUTO_BEEP
1676475171458443300,15:32:51,APP START
1676475173243409700,15:32:53,AUTO_BEEP
1676475174611402300,15:32:54,AUTO_BEEP
1676475175251407000,15:32:55,AUTO_BEEP
1676475175923436200,15:32:55,AUTO_BEEP
1676475176927401700,15:32:56,H
1676475178971411200,15:32:58,AUTO_BEEP
1676475182477400000,15:33:02,APP START
1676475183707401900,15:33:03,AUTO_BEEP
1676475185435402500,15:33:05,AUTO_BEEP
1676475221629401900,15:33:41,APP START
1676475222995402600,15:33:42,AUTO_BEEP
1676475224107413000,15:33:44,AUTO_BEEP
1676475225475404200,15:33:45,AUTO_BEEP
1676475225907402500,15:33:45,AUTO_BEEP
1676475228519400900,15:33:48,APP START
1676475229643402900,15:33:49,AUTO_BEEP
1676475230483402900,15:33:50,AUTO_BEEP
1676475231155405000,15:33:51,AUTO_BEEP
1676475371867404800,15:36:11,APP START
1676475373906403900,15:36:13,AUTO_BEEP
1676475376915400400,15:36:16,H
1676475783776437100,15:43:03,APP START
1676475785355447000,15:43:05,AUTO_BEEP
1676475789363431600,15:43:09,H
1676475909054433700,15:45:09,APP START
1676475910299434700,15:45:10,AUTO_BEEP
1676475914443436500,15:45:14,H
1676476014817439900,15:46:54,APP START
1676476015947433200,15:46:55,AUTO_BEEP
1676476020185430600,15:47:00,H
1676476079583436300,15:47:59,APP START
1676476080787433600,15:48:00,AUTO_BEEP
1676476084949434500,15:48:04,H
1676476086058435500,15:48:06,AUTO_BEEP
1676476090065466100,15:48:10,H
1676476095075433100,15:48:15,H
1676476096226437000,15:48:16,AUTO_BEEP
1676476100234435500,15:48:20,H
1676476178565528600,15:49:38,APP START
1676476179882528700,15:49:39,AUTO_BEEP
1676476178565528600,15:49:38,APP START
1676476183939534200,15:49:43,H
1676476178565528600,15:49:38,APP START
1676476191762524500,15:49:51,APP START
1676476197502528000,15:49:57,H
1676476202512536800,15:50:02,H
1676476207523524000,15:50:07,H
1676476212532559900,15:50:12,H
1676476251341527900,15:50:51,APP START
1676476252914527700,15:50:52,AUTO_BEEP
1676476253915528000,15:50:53,AUTO_BEEP
1676476256922557700,15:50:56,H
1676476257918526300,15:50:57,H
1676476261931558600,15:51:01,H
1676476262920523700,15:51:02,H
1676476305434531200,15:51:45,APP START
1676476306914526600,15:51:46,AUTO_BEEP
1676476310915528200,15:51:50,AUTO_BEEP
1676476310922526300,15:51:50,H
1676476314917544500,15:51:54,AUTO_BEEP
1676476315930529700,15:51:55,H
1676476317919532200,15:51:57,AUTO_BEEP
1676476318922560800,15:51:58,AUTO_BEEP
1676476549750740200,15:55:49,APP START
1676476550858736200,15:55:50,AUTO_BEEP
1676476554859737100,15:55:54,AUTO_BEEP
1676476555139738900,15:55:55,H
1676476560149737500,15:56:00,H
1676476562862738700,15:56:02,AUTO_BEEP
1676476664722788400,15:57:44,APP START
1676476666162812300,15:57:46,AUTO_BEEP
1676476670163790600,15:57:50,AUTO_BEEP
1676476670171789900,15:57:50,H
1676477382430843300,16:09:42,APP START
1676477384216812000,16:09:44,RECORDING START
1676477388168809600,16:09:48,RECORDING START
1676477388171812900,16:09:48,H
1676477923013634100,16:18:43,APP START
1676477924617637900,16:18:44,RECORDING START
1676477926512638000,16:18:46,RECORDING END
1676477926832638100,16:18:46,RECORDING START
1676477927048635300,16:18:47,RECORDING END
1676478030283637600,16:20:30,APP START
1676478031760638300,16:20:31,RECORDING START
1676478034968647600,16:20:34,RECORDING END
1676478035972638200,16:20:35,H
1676478087568460100,16:21:27,APP START
1676478088968467700,16:21:28,RECORDING START
