ux time,human time,message
1682277000039640000,20:10:00,APP START
1682277390417271000,20:16:30,APP START
1682277394561751000,20:16:34,TRIGGER
1682277395572182000,20:16:35,H
1682277400591279000,20:16:40,H
1682277400811789000,20:16:40,MAKE
1682277402246097000,20:16:42,MISS
1682277402762534000,20:16:42,RELEASE
1682277403631148000,20:16:43,
